Páginas principales,Clics,Impresiones,CTR,Posición
https://avesnativaschilenas.cl/marina/gaviota/gaviota-pacifico/,0,1040,0%,6.4
https://avesnativaschilenas.cl/marina/gaviota/gaviota-cahuil/,0,596,0%,7.03
https://avesnativaschilenas.cl/rapaces/condor/,0,587,0%,79.05
https://avesnativaschilenas.cl/rapaces/lechuza/significado-de-ver-un-buho-blanco-en-la-noche/,0,576,0%,28.66
https://avesnativaschilenas.cl/marina/gaviota/gaviota-garuma/,0,560,0%,7.29
https://avesnativaschilenas.cl/familia/falconidae/,0,545,0%,6.89
https://avesnativaschilenas.cl/migratorias/paloma/pulga-de-paloma/,0,505,0%,22.85
https://avesnativaschilenas.cl/cuidados/como-distinguir-un-pavo-real-macho-de-una-hembra/,0,377,0%,50.07
https://avesnativaschilenas.cl/pato/donde-viven-los-patos-y-de-que-se-alimentan/,0,371,0%,69.26
https://avesnativaschilenas.cl/aguila/que-significa-que-un-aguila-se-pare-en-tu-casa/,0,370,0%,16.85
https://avesnativaschilenas.cl/gorrion/,0,349,0%,69.76
https://avesnativaschilenas.cl/blog/grupo-de-aves-marinas-al-que-pertenecen-las-gaviotas/,0,331,0%,50.23
https://avesnativaschilenas.cl/rapaces/excremento-de-las-aves-de-rapina/,0,248,0%,13.33
https://avesnativaschilenas.cl/aguila/cuanto-mide-un-aguila-real-con-las-alas-abiertas/,0,248,0%,55.33
https://avesnativaschilenas.cl/terrestres/zorzal/zorzal-colorado/,0,234,0%,74.02
https://avesnativaschilenas.cl/blog/que-significa-cuando-hay-muchos-pajaros-en-el-cielo/,0,218,0%,12.53
https://avesnativaschilenas.cl/migratorias/paloma/,0,205,0%,73.92
https://avesnativaschilenas.cl/terrestres/zorzal/,0,202,0%,68.1
https://avesnativaschilenas.cl/blog/aves-de-pecho-rojo/,0,199,0%,44.47
https://avesnativaschilenas.cl/terrestres/perdiz/,0,192,0%,67.5
https://avesnativaschilenas.cl/cuidados/como-darle-de-comer-a-un-pichon-de-paloma/,0,191,0%,63.55
https://avesnativaschilenas.cl/cisne/,0,172,0%,80.2
https://avesnativaschilenas.cl/terrestres/zorzal/zorzal-comun-turdus-philomelos/,0,171,0%,73.92
https://avesnativaschilenas.cl/blog/aves-que-cantan-de-noche/,0,163,0%,59.74
https://avesnativaschilenas.cl/cuidados/10-medidas-para-proteger-a-los-animales-en-peligro-de-extincion/,0,160,0%,82.16
https://avesnativaschilenas.cl/terrestres/bandurria/,0,139,0%,63.01
https://avesnativaschilenas.cl/terrestres/chercan/,0,136,0%,59.58
https://avesnativaschilenas.cl/rapaces/lechuza/,0,130,0%,70
https://avesnativaschilenas.cl/terrestres/tapaculo/,0,128,0%,29.76
https://avesnativaschilenas.cl/migratorias/paloma/palomas-bebes/,0,128,0%,68.88
https://avesnativaschilenas.cl/rapaces/buhos/,0,127,0%,72.37
https://avesnativaschilenas.cl/marina/gaviota/como-saber-si-una-gaviota-es-macho-o-hembra/,0,123,0%,22.51
https://avesnativaschilenas.cl/picaflor/,0,121,0%,53.81
https://avesnativaschilenas.cl/terrestres/ave-chincol/,0,121,0%,57.6
https://avesnativaschilenas.cl/cisne/ave-de-plumaje-blanco-y-penacho-amarillo-y-largo/,0,120,0%,7.62
https://avesnativaschilenas.cl/tortola/tortola-comun/,0,120,0%,67.49
https://avesnativaschilenas.cl/rapaces/de-que-se-alimenta-el-condor-de-los-andes/,0,120,0%,72.31
https://avesnativaschilenas.cl/blog/hay-aves-que-cruzan-el-pantano-y-no-se-manchan/,0,116,0%,16.2
https://avesnativaschilenas.cl/migratorias/paloma/nutricion-pichones-de-paloma/,0,107,0%,71.43
https://avesnativaschilenas.cl/pato/#guia_completa_de_los_tipos_de_patos_silvestres_mas_representativos_que_habitan_en_chile,0,106,0%,8.34
https://avesnativaschilenas.cl/terrestres/diucon/,0,104,0%,48.2
https://avesnativaschilenas.cl/terrestres/diuca/,0,104,0%,72.83
https://avesnativaschilenas.cl/terrestres/chucao/,0,103,0%,74.34
https://avesnativaschilenas.cl/pato/#proteccion_y_conservacion_de_los_patos,0,99,0%,8.17
https://avesnativaschilenas.cl/aguila/peuco/,0,99,0%,50.54
https://avesnativaschilenas.cl/chiloe/,0,98,0%,12.49
https://avesnativaschilenas.cl/rapaces/porque-el-condor-es-el-ave-nacional-de-colombia/,0,98,0%,73.44
https://avesnativaschilenas.cl/terrestres/faisan/,0,97,0%,71.48
https://avesnativaschilenas.cl/tortola/,0,95,0%,68
https://avesnativaschilenas.cl/queltehue/,0,93,0%,69.96
https://avesnativaschilenas.cl/pato/#caracteristicas_fascinantes_de_los_patos,0,92,0%,8.35
https://avesnativaschilenas.cl/en-peligro-de-extincion/,0,90,0%,17.01
https://avesnativaschilenas.cl/migratorias/paloma/tipo-de-paloma-de-40-cm-y-cuello-verdoso/,0,88,0%,8.28
https://avesnativaschilenas.cl/aguila/aguila-arpia/,0,87,0%,38.89
https://avesnativaschilenas.cl/aguila/como-ensena-el-aguila-a-volar-a-sus-polluelos/,0,86,0%,13.17
https://avesnativaschilenas.cl/pato/#alimentacion_diversa_de_los_patos,0,85,0%,8.15
https://avesnativaschilenas.cl/pato/#la_reproduccion_de_los_patos,0,85,0%,8.15
https://avesnativaschilenas.cl/terrestres/zorzal/zorzal-pardo-turdus-torquatus/,0,84,0%,76.63
https://avesnativaschilenas.cl/blog/sonar-con-un-ave-que-me-ataca/,0,80,0%,14.31
https://avesnativaschilenas.cl/terrestres/loica/,0,74,0%,63.59
https://avesnativaschilenas.cl/terrestres/pavo-real-morado/,0,71,0%,34.87
https://avesnativaschilenas.cl/blog/espiritualidad-y-simbolismo-de-las-aves-rapaces/,0,70,0%,35.43
https://avesnativaschilenas.cl/blog/que-significa-que-lleguen-muchos-pajaros-a-tu-casa/,0,69,0%,48.88
https://avesnativaschilenas.cl/terrestres/jilguero/,0,69,0%,54.33
https://avesnativaschilenas.cl/cisne/cisne-de-cuello-negro/,0,69,0%,67.33
https://avesnativaschilenas.cl/terrestres/corbatita/cotorra-argentina/,0,69,0%,79.33
https://avesnativaschilenas.cl/aguila/traro/,0,68,0%,52.5
https://avesnativaschilenas.cl/marina/cormoran/,0,68,0%,70.63
https://avesnativaschilenas.cl/martin-pescador/,0,68,0%,76.31
https://avesnativaschilenas.cl/marina/piuquen/,0,67,0%,10.46
https://avesnativaschilenas.cl/migratorias/cual-es-el-tiempo-en-que-tardan-en-salir-las-golondrinas/,0,67,0%,45.42
https://avesnativaschilenas.cl/terrestres/pavo-real/,0,63,0%,49.25
https://avesnativaschilenas.cl/migratorias/golondrina/,0,63,0%,74.24
https://avesnativaschilenas.cl/albatro/albatros-errante/,0,62,0%,70.02
https://avesnativaschilenas.cl/aguila/el-aguila-que-tipo-de-consumidor-es/,0,61,0%,9.1
https://avesnativaschilenas.cl/blog/aves-de-frutillar/,0,60,0%,3.92
https://avesnativaschilenas.cl/blog/significado-espiritual-de-que-entre-un-pajaro-en-casa/,0,60,0%,65.45
https://avesnativaschilenas.cl/blog/loros-que-se-pueden-tener-en-casa/,0,59,0%,69.36
https://avesnativaschilenas.cl/terrestres/zorzal/que-come-un-zorzal-en-jaula/,0,58,0%,38.74
https://avesnativaschilenas.cl/acuaticas/garza/garza-grande/,0,58,0%,79.66
https://avesnativaschilenas.cl/marina/churrete/,0,56,0%,57.57
https://avesnativaschilenas.cl/aguila/aguila-peregrina/,0,55,0%,14.71
https://avesnativaschilenas.cl/marina/,0,55,0%,47.53
https://avesnativaschilenas.cl/aguila/que-significa-sonar-con-un-aguila-segun-la-biblia/,0,55,0%,52.82
https://avesnativaschilenas.cl/marina/gaviota/gaviota-peruana/,0,55,0%,67.13
https://avesnativaschilenas.cl/loro/choroy/,0,55,0%,68.78
https://avesnativaschilenas.cl/terrestres/fio-fio/,0,53,0%,44.79
https://avesnativaschilenas.cl/acuaticas/cual-es-el-ave-mas-grande-del-mundo-que-vuela/,0,53,0%,73.08
https://avesnativaschilenas.cl/aguila/tiuque/,0,52,0%,67.9
https://avesnativaschilenas.cl/blog/pajaro-pecho-rojo-chile/,0,52,0%,69.58
https://avesnativaschilenas.cl/gallina/,0,51,0%,27
https://avesnativaschilenas.cl/avestruz/,0,51,0%,35.84
https://avesnativaschilenas.cl/rapaces/halcon/,0,51,0%,76.43
https://avesnativaschilenas.cl/tortola/variedad-de-paloma-de-cuello-verdoso/,0,50,0%,5.7
https://avesnativaschilenas.cl/blog/hay-aves-que-cruzan-el-pantano-y-no-se-manchan-significado/,0,50,0%,21.6
https://avesnativaschilenas.cl/aguila/aguila-crestada/,0,49,0%,13.92
https://avesnativaschilenas.cl/terrestres/zorzal/zorzal-charlo-turdus-viscivorus/,0,49,0%,80.2
https://avesnativaschilenas.cl/zanate/,0,47,0%,48.17
https://avesnativaschilenas.cl/cuidados/tipo-de-alimentacion-de-las-aves/,0,47,0%,83.94
https://avesnativaschilenas.cl/churrete/churrete-chico/,0,46,0%,40.33
https://avesnativaschilenas.cl/migratorias/torcaza/,0,46,0%,75.04
https://avesnativaschilenas.cl/aguila/cuanto-mide-un-aguila-con-las-alas-abiertas/,0,44,0%,12.77
https://avesnativaschilenas.cl/terrestres/corbatita/familia-de-aves-de-plumaje-negro-y-pico-largo/,0,43,0%,22.19
https://avesnativaschilenas.cl/nidos/descubre-el-nido-perfecto-para-tus-ninfas-comodidad-y-estilo-en-cada-rincon/,0,43,0%,69.84
https://avesnativaschilenas.cl/blog/de-que-esta-cubierta-la-piel-del-pavo-real/,0,41,0%,12.02
https://avesnativaschilenas.cl/blog/que-aves-se-pueden-tener-de-mascota-en-argentina/,0,41,0%,23.63
https://avesnativaschilenas.cl/cuidados/que-se-le-puede-dar-de-comer-a-un-pichon-de-paloma/,0,41,0%,67.85
https://avesnativaschilenas.cl/cuidados/de-que-se-alimentan-las-aves/,0,41,0%,84.15
https://avesnativaschilenas.cl/cuotas-de-caza-de-aves-en-chile/,0,40,0%,13.43
https://avesnativaschilenas.cl/rapaces/nuco/,0,39,0%,15.31
https://avesnativaschilenas.cl/terrestres/rayadito/,0,39,0%,49.62
https://avesnativaschilenas.cl/acuaticas/garza/,0,39,0%,66.23
https://avesnativaschilenas.cl/familia/trochilidae/,0,39,0%,80.33
https://avesnativaschilenas.cl/blog/animales-en-peligro-de-extincion-en-chile-zona-centro/,0,38,0%,73.92
https://avesnativaschilenas.cl/rapaces/jote/jote-de-cabeza-colorada/,0,38,0%,77.97
https://avesnativaschilenas.cl/aguila/accipitriformes-vs-falconiformes/,0,37,0%,25.59
https://avesnativaschilenas.cl/zanate/interpretaciones-sobre-zanates-que-se-posan-en-el-techo-de-tu-hogar/,0,36,0%,11.17
https://avesnativaschilenas.cl/blog/aves-tipicas-de-santiago/,0,36,0%,62.78
https://avesnativaschilenas.cl/migratorias/zarapito/zarapito-comun/,0,36,0%,71.81
https://avesnativaschilenas.cl/cuidados/guia-completa-para-criar-canarios-en-casa-consejos-y-recomendaciones-para-principiantes/,0,35,0%,59.77
https://avesnativaschilenas.cl/blog/que-significa-que-un-pajaro-te-visite-todos-los-dias/,0,34,0%,35.97
https://avesnativaschilenas.cl/terrestres/guacharo/,0,33,0%,45.36
https://avesnativaschilenas.cl/pato/cormoran-yeco/,0,31,0%,68.45
https://avesnativaschilenas.cl/blog/sonidos-aves-de-chile/,0,30,0%,45.73
https://avesnativaschilenas.cl/familia/psittacidae/,0,30,0%,73.3
https://avesnativaschilenas.cl/cuidados/de-que-color-son-los-huevos-de-pavo-real/,0,29,0%,41.76
https://avesnativaschilenas.cl/blog/pajaros-domesticos-pequenos/,0,29,0%,66.31
https://avesnativaschilenas.cl/picaflor/picaflor-de-arica/,0,29,0%,87.48
https://avesnativaschilenas.cl/queltehue/huevo-de-queltehue/,0,28,0%,48.14
https://avesnativaschilenas.cl/tropicales/ave-asiatica-del-tamano-de-un-gallo-y-de-cola-larga/,0,27,0%,12.3
https://avesnativaschilenas.cl/blog/cantos-de-aves-chilenas/,0,27,0%,40.93
https://avesnativaschilenas.cl/albatro/,0,27,0%,73.78
https://avesnativaschilenas.cl/marina/pinguino-de-magallanes-el-habitante-de-las-costas-patagonicas/,0,27,0%,85.93
https://avesnativaschilenas.cl/cuidados/como-curar-a-una-paloma-herida-por-un-gato/,0,26,0%,25.65
https://avesnativaschilenas.cl/cuervo/cuervos-y-mitologia-andina-leyendas-y-creencias/,0,26,0%,79.15
https://avesnativaschilenas.cl/blog/golondrina-de-mar/,0,26,0%,88.77
https://avesnativaschilenas.cl/rapaces/cual-es-el-ave-de-rapina-mas-grande-del-mundo/,0,25,0%,9.24
https://avesnativaschilenas.cl/terrestres/cuclillo-de-pico-negro/,0,25,0%,14.04
https://avesnativaschilenas.cl/marina/pinguino/,0,25,0%,75.72
https://avesnativaschilenas.cl/blog/aves-de-coyhaique/,0,24,0%,5.71
https://avesnativaschilenas.cl/terrestres/bailarin/bailarin-chico/,0,24,0%,52.58
https://avesnativaschilenas.cl/familia/accipitridae/,0,24,0%,72.21
https://avesnativaschilenas.cl/cuidados/por-que-el-pavo-real-esta-en-peligro-de-extincion/,0,23,0%,17.74
https://avesnativaschilenas.cl/blog/que-significa-sonar-con-un-pajaro-azul/,0,23,0%,18.83
https://avesnativaschilenas.cl/terrestres/colilarga/,0,23,0%,30.3
https://avesnativaschilenas.cl/blog/quebrada-de-cordova/,0,23,0%,41.39
https://avesnativaschilenas.cl/cuervo/cuervo-de-pantano/,0,23,0%,47.87
https://avesnativaschilenas.cl/marina/gaviota/gaviotas-en-zonas-urbanas/,0,22,0%,9.32
https://avesnativaschilenas.cl/blog/what-does-it-mean-when-white-birds-fly-over-you/,0,22,0%,16.45
https://avesnativaschilenas.cl/marina/pitotoy/pitotoy-chico/,0,22,0%,18.73
https://avesnativaschilenas.cl/aguila/traro/el-traro-chileno-tesoro-cultural-y-simbolo-nacional/,0,22,0%,36.41
https://avesnativaschilenas.cl/blog/por-que-esta-en-peligro-de-extincion-el-halcon-peregrino/,0,22,0%,54.91
https://avesnativaschilenas.cl/blog/el-pavo-real-esta-en-peligro-de-extincion-si-o-no/,0,21,0%,46.43
https://avesnativaschilenas.cl/rapaces/caiquen/,0,21,0%,61.38
https://avesnativaschilenas.cl/zanate/mitos-leyendas-zanate/,0,20,0%,20.95
https://avesnativaschilenas.cl/aguila/renovacion-espiritual-segun-las-ensenanzas-del-aguila/,0,20,0%,30.15
https://avesnativaschilenas.cl/jaulas/,0,20,0%,34.5
https://avesnativaschilenas.cl/cuidados/como-saber-la-edad-de-un-pichon-de-paloma/,0,20,0%,39.7
https://avesnativaschilenas.cl/blog/what-does-it-mean-when-you-see-a-white-bird/,0,20,0%,55.6
https://avesnativaschilenas.cl/migratorias/paloma/convivir-con-palomas-beneficios-y-consideraciones/,0,20,0%,71.15
https://avesnativaschilenas.cl/pato/pato-negro-netta-peposaca/,0,20,0%,73.85
https://avesnativaschilenas.cl/acuaticas/garza/garza-cuca/,0,20,0%,75.9
https://avesnativaschilenas.cl/marina/gaviota/gaviotin-sudamericano/,0,19,0%,34.68
https://avesnativaschilenas.cl/blog/que-se-le-pone-a-los-periquitos-para-hacer-el-nido/,0,19,0%,37.63
https://avesnativaschilenas.cl/pato/pato-jergon-chico/,0,19,0%,68.53
https://avesnativaschilenas.cl/blog/petrel-gigante/,0,19,0%,72.89
https://avesnativaschilenas.cl/terrestres/becacina-de-la-puna/,0,18,0%,22.22
https://avesnativaschilenas.cl/migratorias/paloma/huevo-de-paloma/,0,18,0%,57.5
https://avesnativaschilenas.cl/churrin/churrin-del-norte/,0,18,0%,58.17
https://avesnativaschilenas.cl/blog/como-curar-a-un-pajaro-herido-por-gato/,0,17,0%,24.35
https://avesnativaschilenas.cl/churrin/,0,17,0%,61.29
https://avesnativaschilenas.cl/marina/petrel/,0,17,0%,80.24
https://avesnativaschilenas.cl/marina/ave-que-vive-en-la-costa-peruana-y-chilena/,0,16,0%,52.81
https://avesnativaschilenas.cl/terrestres/pitio/,0,16,0%,54.88
https://avesnativaschilenas.cl/terrestres/turca/,0,16,0%,58.88
https://avesnativaschilenas.cl/migratorias/golondrina/que-significa-cuando-hay-una-bandada-de-pajaros/,0,16,0%,88.25
https://avesnativaschilenas.cl/rapaces/lechuza/rayador/,0,15,0%,61.2
https://avesnativaschilenas.cl/familia/strigidae/,0,15,0%,68.07
https://avesnativaschilenas.cl/familia/threskiornithidae/,0,15,0%,74.53
https://avesnativaschilenas.cl/tagua/,0,15,0%,75
https://avesnativaschilenas.cl/blog/aves-de-la-patagonia-chilena/,0,15,0%,75.73
https://avesnativaschilenas.cl/picaflor/picaflor-gigante/,0,15,0%,79.33
https://avesnativaschilenas.cl/tortola/tortola-cordillerana/,0,15,0%,82.73
https://avesnativaschilenas.cl/familia/rallidae/,0,14,0%,59.36
https://avesnativaschilenas.cl/tienda/comederos/,0,14,0%,61
https://avesnativaschilenas.cl/cuervo/cuervo-de-pantano-de-la-puna/,0,14,0%,64.14
https://avesnativaschilenas.cl/pato/pato-cuchara-spatula-platalea/,0,14,0%,79.07
https://avesnativaschilenas.cl/marina/pitotoy/pitotoy-grande/,0,13,0%,28.46
https://avesnativaschilenas.cl/marina/gaviota/gaviotin-elegante/,0,13,0%,33.08
https://avesnativaschilenas.cl/marina/gaviota/gaviotin-monja/,0,13,0%,44.54
https://avesnativaschilenas.cl/terrestres/hued-hued/,0,13,0%,59.92
https://avesnativaschilenas.cl/terrestres/cachudito-de-cresta-blanca/,0,13,0%,68.46
https://avesnativaschilenas.cl/ciguena/,0,13,0%,82.46
https://avesnativaschilenas.cl/cuidados/como-dar-de-comer-a-un-pichon-de-paloma/,0,12,0%,9.25
https://avesnativaschilenas.cl/migratorias/paloma/gaviota-bebe/,0,12,0%,58.67
https://avesnativaschilenas.cl/rapaces/rapaces-santiago/,0,12,0%,80.92
https://avesnativaschilenas.cl/blog/el-simbolismo-de-volar-alto-en-el-mundo-espiritual/,0,11,0%,14.45
https://avesnativaschilenas.cl/blog/aves-que-dan-miedo/,0,11,0%,14.91
https://avesnativaschilenas.cl/tropicales/chirihue/chirihue-verdoso/,0,11,0%,17.18
https://avesnativaschilenas.cl/tropicales/chirihue/,0,11,0%,57.27
https://avesnativaschilenas.cl/marina/cormoran/cormoran-imperial/,0,11,0%,65.64
https://avesnativaschilenas.cl/blog/porque-el-condor-es-el-ave-nacional-de-chile/,0,11,0%,70.91
https://avesnativaschilenas.cl/familia/diomedeidae/,0,11,0%,72.27
https://avesnativaschilenas.cl/tropicales/chirihue/chirihue-dorado/,0,11,0%,74.27
https://avesnativaschilenas.cl/marina/gaviota/gaviota-dominicana/,0,11,0%,81.45
https://avesnativaschilenas.cl/terrestres/,0,10,0%,2.2
https://avesnativaschilenas.cl/rapaces/#aves_de_rapi_a_en_chile_caracteristicas_principales_de_estos_rapaces,0,10,0%,9.2
https://avesnativaschilenas.cl/rapaces/#principales_aves_rapaces_diurnas_y_nocturnas_que_habitan_en_chile,0,10,0%,9.2
https://avesnativaschilenas.cl/rapaces/#tipos_de_aves_rapaces_nocturnas_encontradas_en_chile,0,10,0%,9.2
https://avesnativaschilenas.cl/cernicalo/como-atraer-cernicalos/,0,10,0%,18.8
https://avesnativaschilenas.cl/wp-content/uploads/2024/12/como-distinguir-un-pavo-real-macho-de-una-hembra.jpg,0,10,0%,22.5
https://avesnativaschilenas.cl/terrestres/corbatita/pajaro-negro-con-las-puntas-de-las-alas-blancas/,0,10,0%,22.7
https://avesnativaschilenas.cl/terrestres/perdiz-de-la-puna/,0,10,0%,39.7
https://avesnativaschilenas.cl/cuidados/que-hacer-con-un-pajaro-herido-por-un-gato/,0,10,0%,40.8
https://avesnativaschilenas.cl/nidos/atrapa-la-atencion-de-los-pajaros-descubre-nuestros-irresistibles-nidos-colgantes-hechos-a-mano/,0,10,0%,42.2
https://avesnativaschilenas.cl/pato/pato-rana-de-pico-delgado-oxyura-vittata/,0,10,0%,66.9
https://avesnativaschilenas.cl/familia/tyrannidae/,0,10,0%,72.3
https://avesnativaschilenas.cl/terrestres/colegial/,0,9,0%,9.33
https://avesnativaschilenas.cl/blog/las-aves-mas-coloridas-de-chile/,0,9,0%,34.67
https://avesnativaschilenas.cl/terrestres/el-cachudito-de-juan-fernandez/,0,9,0%,40.33
https://avesnativaschilenas.cl/pato/pato-anteojillo/,0,9,0%,42.22
https://avesnativaschilenas.cl/rapaces/carancho-cordillerano/,0,9,0%,61.22
https://avesnativaschilenas.cl/blog/phrygilus-patagonicus/,0,9,0%,64.89
https://avesnativaschilenas.cl/familia/picidae/,0,9,0%,68
https://avesnativaschilenas.cl/terrestres/dormilona/dormilona-fraile/,0,9,0%,75.33
https://avesnativaschilenas.cl/familia/caprimulgidae/,0,9,0%,81.89
https://avesnativaschilenas.cl/cisne/donde-vive-el-cisne-de-cuello-negro-en-chile/,0,9,0%,88.56
https://avesnativaschilenas.cl/migratorias/paloma/paloma-que-tiene-un-vistoso-plumaje-en-el-cuello/,0,8,0%,8.5
https://avesnativaschilenas.cl/rapaces/#falconiformes_aves_rapaces_diurnas,0,8,0%,8.88
https://avesnativaschilenas.cl/rapaces/#listado_de_aves_rapaces_en_el_sur_de_chile,0,8,0%,8.88
https://avesnativaschilenas.cl/rapaces/#principales_especies_de_aves_rapaces_diurnas_en_chile,0,8,0%,8.88
https://avesnativaschilenas.cl/rapaces/#que_aves_rapaces_hay_en_chile_,0,8,0%,8.88
