keyword,intencion,cobertura,tipo,url,titulo,id,score
aves blancas grandes,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/grandes/descubre-la-elegante-jaula-liuands-el-hogar-perfecto-y-espacioso-para-la-salud-de-tus-aves/,Descubre la elegante jaula LIUANDS: ¡el hogar perfecto y espacioso para la salud de tus aves!,7741,2
aves blancas nombres,mixto,NO,,,,,1
aves de brasil fotos,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,2
aves de presa animal,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,2
aves de puerto montt,mixto,SI,post,https://avesnativaschilenas.cl/ubicacion/aves-en-puerto-montt/,Aves en Puerto Montt: Guía completa de observación y recomendaciones,2113,4
aves de puerto varas,mixto,SI,post,https://avesnativaschilenas.cl/ubicacion/aves-en-puerto-montt/,Aves en Puerto Montt: Guía completa de observación y recomendaciones,2113,3
aves de punta arenas,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,2
aves dibujos de aves,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,2
aves grandes blancas,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/grandes/descubre-la-elegante-jaula-liuands-el-hogar-perfecto-y-espacioso-para-la-salud-de-tus-aves/,Descubre la elegante jaula LIUANDS: ¡el hogar perfecto y espacioso para la salud de tus aves!,7741,2
aves grandes nombres,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/grandes/descubre-la-elegante-jaula-liuands-el-hogar-perfecto-y-espacioso-para-la-salud-de-tus-aves/,Descubre la elegante jaula LIUANDS: ¡el hogar perfecto y espacioso para la salud de tus aves!,7741,2
aves litoral central,mixto,NO,,,,,1
aves marinas grandes,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/gaviotas/la-vida-secreta-de-las-aves-marinas/,La Vida Secreta de las Aves Marinas: Descubre sus Hábitos y Misterios,11042,2
aves negras chilenas,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/marina/ave-marina-pico-rojo/,Aves marinas Chilenas con pico rojo​,8857,2
aves nocturnas chile,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/blog/importancia-de-las-aves-en-chile/,Importancia de las aves en Chile: su rol en los ecosistemas y la conservacion nacional,15082,2
aves nocturnas raras,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/rapaces/lechuza/aves-que-cantan-de-noche/,Descubre el misterio de las aves que cantan de noche: ¡Conoce sus secretos y melodías nocturnas!,2137,2
aves nombres comunes,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/cuidados/sintomas-de-enfermedades-comunes-en-aves-domesticas/,Guía Completa sobre los Síntomas de Enfermedades Comunes en Aves Domésticas: Cómo Identificarlos y Actuar a Tiempo,6537,2
aves nombres y fotos,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/nidos-para-aves/,"Nidos para Aves: Tipos, Materiales y Como Elegir el Mejor",15288,2
aves rapaces diurnas,mixto,SI,post,https://avesnativaschilenas.cl/rapaces/falconidae-guia-completa-de-las-aves-rapaces-diurnas/,Falconidae: Guia Completa de las Aves Rapaces Diurnas,11822,3
aves rapaces grandes,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/rapaces/falconidae-guia-completa-de-las-aves-rapaces-diurnas/,Falconidae: Guia Completa de las Aves Rapaces Diurnas,11822,2
aves raras del mundo,mixto,SI,post,https://avesnativaschilenas.cl/rapaces/excremento-de-las-aves-de-rapina/,El Curioso Mundo del Excremento de las Aves de Rapiña: Más Allá de un Simple Desecho,1903,3
aves verdes pequeñas,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/nidos/descubre-los-8-forros-de-yute-perfectos-para-mimar-a-tus-canarios-y-pequenas-aves/,Descubre los 8 Forros de Yute Perfectos para Mimar a tus Canarios y Pequeñas Aves,8601,2
aviario de agapornis,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
aviario para pajaros,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/aviarios/,Aviarios para Aves: Guia Completa para Elegir el Mejor Aviario,15276,100
aviarios de canarios,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-canarios/,Jaulas para Canarios: Guia de Compra para tu Pajaro Cantor,15280,100
bailarin baryshnikov,mixto,NO,,,,,1
bailarin de folklore,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/rapaces/bailarin/,"Pajaro Bailarín, la Elegante Ave de Rapiña de Chile",1694,2
bailarin julio bocca,mixto,NO,,,,,1
bailarin profesional,mixto,NO,,,,,1
bailarina de bachata,mixto,NO,,,,,1
bailarina de can can,mixto,NO,,,,,1
bailarina de hip hop,mixto,NO,,,,,1
bailarina fotografia,mixto,NO,,,,,1
bailarina mora godoy,mixto,NO,,,,,0
bailarina venezolana,mixto,NO,,,,,0
balanceado para aves,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,2
baryshnikov bailando,mixto,NO,,,,,0
baryshnikov bailarin,mixto,NO,,,,,1
bebederos para loros,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
bebo y chucho valdés,mixto,NO,,,,,1
buchones valencianos,mixto,NO,,,,,0
buses condor copiapo,mixto,NO,,,,,1
cabeza amarilla loro,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
caburé ave argentina,mixto,NO,,,,,1
cacatua alba comprar,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
canarios en voladera,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-canarios/,Jaulas para Canarios: Guia de Compra para tu Pajaro Cantor,15280,100
canto aves nocturnas,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/rapaces/lechuza/aves-que-cantan-de-noche/,Descubre el misterio de las aves que cantan de noche: ¡Conoce sus secretos y melodías nocturnas!,2137,2
carpinteros chilenos,mixto,NO,,,,,1
casa para codornices,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
cerveza garza blanca,mixto,NO,,,,,1
chucho y bebo valdes,mixto,NO,,,,,1
cigueña con bebe png,mixto,NO,,,,,1
codornices de puesta,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codornices españolas,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codornices japonicas,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codornices mexicanas,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codornices ponedoras,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codorniz australiana,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codorniz bebe precio,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codorniz china enana,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codorniz china macho,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
codorniz viva precio,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
cola de un pavo real,mixto,SI,post,https://avesnativaschilenas.cl/cuidados/como-distinguir-un-pavo-real-macho-de-una-hembra/,Como distinguir un pavo real macho de una hembra: diferencias reales y fotos,9393,4
colibri azul y verde,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/transforma-la-vida-de-tu-canario-con-la-jaula-relaxdays-espacio-y-estilo-en-azul-verde/,¡Transforma la vida de tu canario con la jaula Relaxdays! Espacio y estilo en azul/verde.,7197,3
colibri buena suerte,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/rapaces/lechuza/las-lechuzas-traen-buena-suerte-simbolismo/,"Las lechuzas y buhos traen buena suerte? Simbolismo, mitos y realidad",15121,2
colibri de los andes,mixto,SI,post,https://avesnativaschilenas.cl/rapaces/2-razones-para-proteger-el-condor-de-los-andes/,2 razones para proteger el cóndor de los andes,9439,3
colibri en el cuello,mixto,SI,post,https://avesnativaschilenas.cl/cisne/por-que-esta-en-peligro-de-extincion-el-cisne-de-cuello-negro/,¿por qué está en peligro de extinción el cisne de cuello negro?,9380,3
colibri en la biblia,mixto,SI,post,https://avesnativaschilenas.cl/aguilas/caracteristicas-de-las-aguilas-segun-la-biblia/,El Aguila en la Biblia: significado espiritual y versiculos clave,1857,3
colibri orejivioleta,mixto,NO,,,,,1
colibri pecho blanco,mixto,NO,,,,,1
colibri verde y azul,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/transforma-la-vida-de-tu-canario-con-la-jaula-relaxdays-espacio-y-estilo-en-azul-verde/,¡Transforma la vida de tu canario con la jaula Relaxdays! Espacio y estilo en azul/verde.,7197,3
colibríes de colores,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/fardela/fardela-heraldica/,Fardela heráldica: el petrel de tres colores de Rapa Nui,14188,2
color de los pericos,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-periquitos/,Jaulas para Periquitos: Guia de Compra Completa 2026,15284,100
color de los tucanes,mixto,SI,post,https://avesnativaschilenas.cl/cuidados/de-que-color-son-los-huevos-de-pavo-real/,de que color son los huevos de pavo real,9364,3
colores de guacamayo,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
colores de los loros,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
colores de un pajaro,mixto,SI,post,https://avesnativaschilenas.cl/blog/que-significa-la-visita-de-un-pajaro-gris-presagio-y-significado-espiritual/,Que Significa la Visita de un Pajaro Gris? Presagio y Significado Espiritual,11826,3
colores de un perico,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-periquitos/,Jaulas para Periquitos: Guia de Compra Completa 2026,15284,100
colores del picaflor,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/picaflor/significado-espiritual-del-colibri-y-tatuajes-de-picaflor/,Significado espiritual del colibrí y tatuajes de picaflor: simbolismo y creencias,14221,2
comedero antipajaros,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero aves casero,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero aves jardin,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero aves madera,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero de canarios,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero de codorniz,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero de perdices,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero de picaflor,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero de pollitos,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedero para ninfas,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comederos de palomas,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comederos para loros,mixto,SI,post,https://avesnativaschilenas.cl/tienda/comederos/,Los mejores comederos para jaulas de pájaros : guía de compra y recomendaciones,2194,100
comedor para pajaros,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/voladeras/,Voladeras para Aves: Como Elegir la Mejor para tus Pajaros,15277,2
comida pichon paloma,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/cuidados/como-darle-de-comer-a-un-pichon-de-paloma/,Como alimentar a un pichon de paloma: guia segura paso a paso,9458,2
como cruzar canarios,informacional,SI,post,https://avesnativaschilenas.cl/jaulas/para-canarios/,Jaulas para Canarios: Guia de Compra para tu Pajaro Cantor,15280,100
compra de codornices,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
comprar cacatua alba,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
comprar jaula grande,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,100
comprar jaula pajaro,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,100
comprar jaula trampa,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,100
concentrado ponedora,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
condominios albatros,mixto,NO,,,,,1
condor alas abiertas,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/aguilas/cuanto-mide-un-aguila-real-con-las-alas-abiertas/,Cuanto mide un aguila real con las alas abiertas,9362,2
condor bus algarrobo,mixto,NO,,,,,1
condor cuello blanco,mixto,NO,,,,,1
conservacion de aves,mixto,SI,post,https://avesnativaschilenas.cl/blog/importancia-de-las-aves-en-chile/,Importancia de las aves en Chile: su rol en los ecosistemas y la conservacion nacional,15082,3
cormoran costa brava,mixto,NO,,,,,1
corral para pollitos,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
costurero pico largo,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/terrestres/mirlo/pajaro-negro-de-pico-largo/,¿Quién es el pájaro negro de pico largo? Descúbrelo aquí,11056,2
cotorra alimentación,informacional,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorra australianas,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorra cabeza negra,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorra monje precio,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorra quaker verde,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorra verde precio,comercial,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorras canary wing,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorras colombianas,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cotorras en adopcion,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
criadero de cacatuas,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
criadero de canarios,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-canarios/,Jaulas para Canarios: Guia de Compra para tu Pajaro Cantor,15280,100
criadero de faisanes,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/nidos/transforma-tu-criadero-con-besportble-30-nidos-de-cria-para-aves-que-aceleraran-la-eclosion/,¡Transforma tu criadero con BESPORTBLE! 30 Nidos de cría para aves que acelerarán la eclosión.,7707,2
criaderos de pajaros,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/rapaces/lechuza/pajaros-blancos-que-vuelan-de-noche/,5 Fascinantes Pájaros Blancos que Vuelan de Noche,11061,2
cuantas gaviotas hay,mixto,NO,,,,,1
cuervo blanco existe,mixto,NO,,,,,1
cuervo mascota chile,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/cuervo/cuervo-casero/,El Cuervo Indio en Chile: Una Presencia Inesperada en Punta Arenas,11296,2
cuervo recién nacido,mixto,NO,,,,,1
cuidado de agapòrnis,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
cuidados de codorniz,informacional,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
curiosidades de aves,informacional,SI,post,https://avesnativaschilenas.cl/familia/picidae/,"Familia de aves Picidae: características, hábitat y curiosidades",2165,3
curso de ornitología,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/ubicacion/aves-tipicas-de-santiago/,Descubre las aves típicas de Santiago: guía completa para amantes de la ornitología,2155,2
cuál es el pavo real,mixto,SI,post,https://avesnativaschilenas.cl/blog/el-pavo-real-esta-en-peligro-de-extincion/,El Pavo Real en Peligro de Extinción: Todo lo que Necesitas Saber para Protegerlo,9999,3
cuáles son los loros,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
de pájaro carpintero,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/para-canarios/,Jaulas para Canarios: Guia de Compra para tu Pajaro Cantor,15280,2
decoracion terrarios,mixto,NO,,,,,1
diamante de bichenov,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/cuidados/guia-completa-para-el-cuidado-de-tu-diamante-mandarin-primeros-pasos-esenciales-para-asegurar-su-bienestar/,Guía Completa para el Cuidado de tu Diamante Mandarín: Primeros Pasos Esenciales para Asegurar su Bienestar,7383,2
diamante de mandarin,mixto,SI,post,https://avesnativaschilenas.cl/cuidados/guia-completa-para-el-cuidado-de-tu-diamante-mandarin-primeros-pasos-esenciales-para-asegurar-su-bienestar/,Guía Completa para el Cuidado de tu Diamante Mandarín: Primeros Pasos Esenciales para Asegurar su Bienestar,7383,3
diuca macho y hembra,mixto,SI,post,https://avesnativaschilenas.cl/terrestres/pavo-real-diferencias-entre-macho-y-hembra-fotos/,Pavo Real: Diferencias entre Macho y Hembra + Fotos,11823,3
dunas de las palomas,mixto,SI,post,https://avesnativaschilenas.cl/cuidados/enfermedades-de-las-palomas-y-limpieza-de-heces/,"Las palomas transmiten enfermedades? Mitos, riesgos reales y limpieza segura",15090,3
eco camping gaviotas,mixto,NO,,,,,1
el carpintero pajaro,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/transportines-para-aves/,Transportines para Aves: Como Elegir el Mejor para Viajar con tu Pajaro,15286,2
el color de las aves,mixto,SI,post,https://avesnativaschilenas.cl/cuidados/por-que-el-excremento-de-las-aves-es-de-consistencia-liquida/,por qué el excremento de las aves es de consistencia líquida,9368,4
